Avian Outbreaks,Price,bacon price,potato price,soybean price,wheat price,months_since_start
8,2.005,7.097,0.802,15.885375,390.5,0
56,2.046,7.203,0.825,16.733152173913044,486.3,1
68,2.52,7.422,0.849,16.798190476190477,495.28,2
56,2.863,7.364,0.875,16.583690476190476,522.29,3
14,2.707,7.403,0.891,16.876063636363636,459.59,4
3,2.936,7.415,0.945,15.627895238095237,382.5,5
8,3.116,7.372,0.994,15.713043478260868,382.86,6
108,2.902,7.383,1.019,14.637727272727272,419.14,7
66,3.419,7.608,0.991,13.812380952380952,437.95,8
98,3.589,7.243,0.945,14.417272727272728,422.68,9
160,4.25,6.956,0.948,14.746363636363638,386.33,10
6,4.823,6.808,0.953,15.110909090909091,380.36,11
14,4.211,6.595,0.978,15.279,394.75,12
25,3.446,6.613,0.968,14.903478260869566,369.86,13
19,3.27,6.549,0.98,14.886500000000002,378.18,14
5,2.666,6.339,1.008,13.829565217391304,367.74,15
7,2.043,6.502,1.094,13.886086956521739,315.82,18
2,2.065,7.083,1.047,13.258095238095239,314.68,19
23,2.072,7.223,1.006,12.84590909090909,298.1,20
106,2.138,6.899,0.983,13.423684210526316,283.55,21
192,2.507,6.774,0.961,13.134285714285713,291.12,22
6,2.522,6.614,0.978,12.35086956521739,283.91,23
16,2.996,6.56,0.971,11.708571428571428,278.5,24
5,2.992,6.609,0.972,11.792857142857143,274.83,25
8,2.864,6.637,0.971,11.648636363636363,272.3,26
10,2.699,6.818,0.964,12.184347826086958,289.42,27
8,2.715,6.827,0.993,11.7245,265.55,28
3,3.08,6.883,1.017,11.18,260.26,29
4,3.821,6.955,1.009,10.12857142857143,269.69,31
20,3.37,6.869,0.998,10.03217391304348,272.85,32
93,3.649,6.843,0.956,9.953809523809523,253.75,33
294,4.146,6.915,0.949,9.833181818181819,252.17,34
36,4.953,7.044,0.973,10.284782608695652,254.09,35
